make,model,production_starting_year,production_ending_year,vehicle_size,vehicle_type,vehicle_class
BMW,5 series,1988,-,Mid-size,Luxury,Car
BMW,6 series,2004,-,Mid-size,Luxury,Grand Tourer
BMW,7 series,1995,-,Full-size,Luxury,Car
BMW,8 series,1990,-,Full-size,Luxury,Grand Tourer
BMW,i3,2013,-,Subcompact,Electric Luxury,Hatchback
BMW,i4,2021,-,Compact,Electric Luxury,Car
BMW,i8,2014,-,Compact,Luxury,Supercar
BMW,iX,2021,-,Mid-size,Electric Luxury,CUV
BMW,iX3,2020,-,Mid-size,Electric Luxury,CUV
BMW,M2,2015,-,Compact,Luxury,Supercar
BMW,M3,1992,-,Compact,Luxury,Car
BMW,M4,2012,-,Compact,Luxury,Supercar
BMW,M5,1998,-,Mid-size,Luxury,Car
BMW,M6,2005,-,Mid-size,Luxury,Grand Tourer
BMW,M8,2019,-,Full-size,Luxury,Grand Tourer
BMW,X1,2009,-,Subcompact,Luxury,CUV
BMW,X2,2017,-,Subcompact,Luxury,CUV
BMW,X3,2004,-,Compact,Luxury,CUV
BMW,X3 M,2019,-,Compact,Luxury,CUV
BMW,X4,2014,-,Compact,Luxury,CUV
BMW,X4 M,2019,-,Compact,Luxury,CUV
BMW,X5,2000,-,Mid-size,Luxury,CUV
BMW,X5 M,2009,-,Mid-size,Luxury,CUV
BMW,X6,2008,-,Mid-size,Luxury,CUV
BMW,X6 M,2009,-,Mid-size,Luxury,CUV
BMW,X7,2018,-,Full-size,Luxury,CUV
BMW,Z3,1996,2003,Compact,,Sports Car
BMW,Z4,2002,-,Compact,,Sports Car
BMW,Z8,2000,2006,Compact,,Sports Car
Brilliance,H230,2012,2019,Subcompact,,Car
Brilliance,V3,2014,-,Subcompact,,CUV
Brilliance,V5,2011,-,Compact,,CUV
Bugatti,Veyron,2005,2015,Compact,Luxury,Hypercar
Buick,Century,1997,2005,Mid-size,,Car
Buick,Enclave,2007,-,Mid-size,,CUV
Buick,Encore,2012,-,Subcompact,,CUV
Buick,Envision,2014,-,Mid-size,,CUV
Buick,LaCrosse,2004,-,Mid-size,,Car
Buick,Le Sabre,1999,2005,Full-size,,Car
Buick,Lucerne,2005,2011,Full-size,,Car
Buick,Park Avenue,1996,2012,Full-size,,Car
Buick,Rainier,2003,2007,Mid-size,,SUV
Buick,Regal,2009,-,Mid-size,,Car
Buick,Rendezvouz,2001,2007,Mid-size,,CUV
Buick,Terraza,2005,2007,Full-size,,Minivan
Buick,Verano,2012,-,Mid-size,,Car
BYD,Qin,2014,-,Compact,,Car
Cadillac,ATS,2012,2019,Compact,Luxury,Car
Cadillac,ATS-V,2016,2019,Compact,Luxury,Car
Cadillac,BLS,2006,2010,Compact,Luxury,Car
Cadillac,CT4,2020,-,Compact,Luxury,Car
Cadillac,CT5,2019,-,Mid-size,Luxury,Car
Cadillac,CT6,2016,-,Full-size,Luxury,Car
Cadillac,CTS,2002,-,Mid-size,Luxury,Car
Cadillac,DeVille,2000,2005,Full-size,Luxury,Car
Cadillac,DTS,2006,2011,Full-size,Luxury,Car
Cadillac,Eldorado,1992,2002,Mid-size,Luxury,Coupe
Cadillac,ELR,2013,2016,Compact,Luxury,Coupe
Cadillac,Escalade,2002,-,Full-size,Luxury,SUV
Cadillac,Seville,1998,2004,Mid-size,Luxury,Car
Cadillac,SRX,2004,2016,Mid-size,Luxury,CUV
Cadillac,STS,2004,2012,Mid-size,Luxury,Car
Cadillac,XLR,2003,2009,Compact,Luxury,Coupe
Cadillac,XT4,2018,-,Subcompact,Luxury,CUV
Cadillac,XT5,2016,-,Mid-size,Luxury,CUV
Cadillac,XT6,2019,-,Mid-size,Luxury,CUV
Cadillac,XTS,2012,-,Full-size,Luxury,Car
Changan,CS35,2012,-,Subcompact,,SUV
Changan,CS35 Plus,2018,-,Subcompact,,CUV
Changan,CS55,2017,-,Compact,,CUV
Changan,CS75,2013,-,Compact,,CUV
Changan,CS95,2017,-,Mid-size,,CUV
Changan,Eado,2012,-,Compact,,Car
Changan,Raeton,2013,-,Mid-size,,Car
Chery,Amulet,2003,2010,Compact,,Car
Chery,Arrizo 3,2015,2020,Subcompact,,Car
Chery,Arrizo 5,2016,-,Compact,,Car
Chery,Arrizo 5 Plus,2018,-,Compact,,Car
Chery,Arrizo 7,2013,2018,Mid-size,,Car
Chery,Arrizo 8,2022,-,Mid-size,,Car
Chery,Bonus,2011,-,Compact,,Car
Chery,Bonus 3,2013,-,Compact,,Car
Chery,Eastar,2003,2016,Mid-size,,Car
Chery,Eastar Cross (V5),2006,2015,Compact,,Minivan
Chery,eQ1,2017,-,Supermini,Electric,Car
Chery,eQ2,2018,-,Subcompact,Electric,Car
Chery,eQ5,2021,-,Compact,Electric,CUV
Chery,Fora,2006,2010,Compact,,Car
Chery,IndiS,2011,-,Compact,,SUV
Chery,Kimo,2008,2014,Compact,,Car
Chery,M11,2008,-,Compact,,Car
Chery,Omoda 5,2022,-,Compact,,CUV
Chery,QQ,2003,-,Supermini,,Car
Chery,QQ6,2006,2010,Compact,,Car
Chery,Tiggo 3,2014,-,Compact,,CUV
Chery,Tiggo 3x,2014,-,Subcompact,,CUV
Chery,Tiggo 4,2017,-,Compact,,CUV
Chery,Tiggo 5,2014,2021,Compact,,CUV
Chery,Tiggo 5x,2014,-,Subcompact,,CUV
Chery,Tiggo 7,2016,-,Compact,,CUV
Chery,Tiggo 8,2018,-,Mid-size,,CUV
Chery,Tiggo 8 Pro,2021,-,Mid-size,,CUV
Chery,Very,2011,-,Mid-size,,SUV
Chevrolet,Astro,1995,2005,Mid-size,,Van
Chevrolet,Avalanche,2002,2013,Full-size,,Pickup Truck
Chevrolet,Aveo,2004,-,Subcompact,,Car
Chevrolet,Beat,2010,-,Subcompact,,Car
Chevrolet,S-10 Blazer,1994,2005,Mid-size,,SUV
Chevrolet,Blazer,2019,-,Mid-size,,SUV
Chevrolet,Bolt,2017,-,Subcompact,Electric,Hatchback
Chevrolet,Camaro,1966,2002,Mid-size,,Pony Car
Chevrolet,Camaro,2010,-,Full-size,,Pony Car
Chevrolet,Captiva,2006,-,Compact,,CUV
Chevrolet,Cavalier,1995,2005,Compact,,Car
Chevrolet,Cobalt,2005,-,Compact,,Car
Chevrolet,Colorado,2004,-,Mid-size,,Pickup Truck
Chevrolet,Corvette,2005,-,Compact,,Sports Car
Chevrolet,Cruze,2009,-,Compact,,Car
Chevrolet,Epica,2006,2012,Mid-size,,Car
Chevrolet,Equinox,2005,-,Compact,,CUV
Chevrolet,Express,2003,-,Full-Size,,Van
Chevrolet,HHR,2006,2011,Compact,,CUV
Chevrolet,Impala,2006,-,Full-size,,Car
